NO,공통표준단어명,공통표준단어영문약어명,공통표준단어영문명,공통표준단어설명,이음동의어목록,금칙어목록
101,요청,DMND,Demand,要請. 필요한 어떤 일이나 행동을 청함. 또는 그런 청,,
102,운영,OPER,Operation,"運營. 조직이나 기구, 사업체 따위를 운용하고 경영함. 어떤 대상을 관리하고 운용하여 나감",,
103,월,MM,Month,"月. 한 달 동안, 달을 세는 단위",,
104,위촉,ENTRST,Entrusting,委囑. 어떤 일을 남에게 부탁하여 맡게 함,,
105,유효,VLD,Validity,"有效. 보람이나 효과가 있음, 법률적 행위가 당사자나 법률이 의도한 본래의 효과가 있음",,
106,응답,RSPNS,Response,應答. 부름이나 물음에 응하여 답함,,
107,의뢰,RQST,Request,依賴. 굳게 믿고 의지함. 남에게 부탁함,,
108,이관,TRNSF,Transfer,移管. 관할을 옮김. 또는 옮기어 관할함,,
109,이동,MVMN,Movement,移動. 움직여 옮김. 또는 움직여 자리를 바꿈,,
110,이메일,EML,Email,컴퓨터의 단말기 이용자끼리 통신 회선을 이용하여 주고받는 글,전자우편,
111,이의,OBJC,Objection,"異議. 다른 의견이나 논의, 민법에서 타인의 행위에 대하여 반대 또는 불복의 의사를 표시하는 일",,
112,인수,ACPTN,Acceptance,引受. 물건이나 권리를 건네받음,,
113,인증,CERT,Certification,認證. 어떠한 문서나 행위가 정당한 절차로 이루어졌다는 것을 공적 기관이 증명함,,
114,일시,DT,Date and Time,日時. 날짜와 시간을 아울러 이르는 말로 연월일시분초를 나타냄,,
115,일자,YMD,YEAR Month Day,日子/日字. 어느 날이라고 정한 날로 연월일을 나타냄,,
116,임시,TMPR,Temporary,臨時. 미리 정하지 아니하고 그때그때 필요에 따라 정함,,
117,입고,WRHS,Warehousing,入庫. 물건을 창고에 넣음,,
118,입국,ENTCNY,Entering a Country,入國. 자기 나라 또는 남의 나라 안으로 들어감,,
119,입금,DPST,Deposit,入金. 돈을 들여놓거나 넣어 줌. 또는 그 돈,,
120,입력,INPT,Input,入力. 문자나 숫자를 컴퓨터가 기억하게 하는 일,,
121,입사,JNCMP,Joining a Company,入社. 회사 따위에 취직하여 들어감,,
122,자격,QLFC,Qualification,資格. 일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력,,
123,자료,DATA,Data,資料. 연구나 조사 따위의 바탕이 되는 재료,,
124,자택,HOME,Home,自宅. 자기 집,,
125,작성,WRT,Writing,"作成. 서류, 원고 따위를 만듦 ",,
126,작업,JOB,Job,作業. 일을 함. 또는 그 일로 일정한 목적과 계획 아래 하는 일,,
127,저장,STRG,Storage,貯藏. 물건이나 재화 따위를 모아서 간수함,,
128,적용,APLCN,Application,適用. 알맞게 이용하거나 맞추어 씀,,
129,적합,STBLT,Suitability,適合. 일이나 조건 따위에 꼭 알맞음,,
130,전송,TRSM,Transmission,電送. 통신회선을 이용하여 보냄,송신,
131,전입,MVIN,Move In,轉入. 이전 거주지에서 새 거주지로 옮겨 옴,,
132,전화,TELNO,Telephone Number,電話番號. 가입된 전화마다 매겨져 있는 일정한 번호,,
,번호,,,,,
133,점검,CHCK,Check,點檢. 낱낱이 검사함. 또는 그런 검사,,
134,접속,CNTN,Connection,接續. 서로 맞대어 이음. 컴퓨터에서 여러 개의 프로세서와 기억 장치 모듈 사이를 물리적으로 또는 전자 회로적으로 연결하는 일,,
135,접수,RCPT, Receipt,接受. 신청이나 신고 따위를 구두(口頭)나 문서로 받음  ,,
136,정산,CLCLN,Calculation,精算. 정밀하게 계산함. 또는 그런 계산,,
137,제공,PVSN,Provision,提供. 무엇을 내주거나 갖다 바침,,
138,제외,EXCL,Exclusion,除外. 따로 떼어내어 한데 헤아리지 않음,,
139,제출,SBMSN,Submission,"提出. 문안(文案)이나 의견, 법안(法案) 따위를 냄",,
140,조사,EXMN,Examination,調査. 사물의 내용을 명확히 알기 위하여 자세히 살펴보거나 찾아봄,,
141,조치,ACTN,Action,措置. 벌어지는 사태를 잘 살펴서 필요한 대책을 세워 행함. 또는 그 대책,,
142,조회,INQ,Inquiry,照會. 어떠한 사항이나 내용이 맞는지 관계되는 기관 등에 알아보는 일,,
143,종결,TRMN,Termination,終結. 일을 끝냄. 어떤 사태를 원인으로 하여 그 결과로 생기는 상태. 또는 일정한 논리적 전제로부터 이끌어 내게 되는 결론,,
144,종료,END,End,終了. 어떤 행동이나 일 따위가 끝남. 또는 행동이나 일 따위를 끝마침,,
