단어 명,물리 명,영문 명,금칙어
기탁금,TRUMNY,TRUST MONEY,
기탁신용장,ESCRLC,ESCROW LETTER OF CREDIT,
기통,CYLNDR,CYLINDER,실린더
기파,SURF,SURF,
기폭,DTNT,DETONATION,
기폭장치,DC,DETONATING CHARGE,
기표,BALLOT,BALLOT,
기표,CRTCHT,CREATE A CHIT,
기표용계정코드,CRCHACCTCD,CREATE A CHIT ACCOUNT CODE,
기표용소관코드,CRCHJCD,CREATE A CHIT JURISDICTION CODE,
기피,EVSN,EVASION,회피
기한,TERM,TERM,
기한부신용장,USCLC,USANCE LETTER OF CREDIT,
기한이익,BNFTM,BENEFIT OF TIME,
기한일자,DLDT,DEADLINE DATE,기한일
기한후배서,EFMY,ENDORSEMENT AFTER MATURITY,
기함,FLGSP,FLAG SHIP,
기항,CLATPRT,CALL AT PORT,
기호,TSTE,TASTE,
기호,SMBL,SYMBOL,"심벌,심볼,심블"
기호식품,FVFD,FAVORITE FOOD,기호품
기혼,MARRIED,MARRIED,
기회,OPPOR,OPPORTUNITY,
기회비용,OPCST,OPPORTUNITY COST,
기획,PLNNG,PLANNING,
기획소요,PLNRQM,PLANNING REQUIREMENT,
기획예산처,MPB,MINISTRY OF PLANNING AND BUDGET,
기획자,PLNER,PLANNER,
기획재정부,MOSF,MINISTRY OF STRATEGY AND FINANCE,"기획예산처,기예처"
기획재정부계정코드,MSFACCTCD,MINISTRY OF STRATEGY AND FINANCE ACCOUNT CODE,
기획재정부소관코드,MSFJCD,MINISTRY OF STRATEGY AND FINANCE JURISDICTION CODE,
기후,CLMT,CLIMATE,
기후현상코드,CLPRSTCD,CLIMATIC PRESENT STATE CODE,
긴급,UGCY,URGENCY,URGENT
긴급도,URGDG,URGENCY DEGREE,
긴급동원,EMMB,EMERGENCY MOBILIZATION,
긴급동원요청번호,EMMBRQNO,EMERGENCY MOBILIZATION REQUEST NUMBER,
긴급동원지정자번호,EMAUNO,EMERGENCY MOBILIZATION ASSIGNMENT USER NUMBER,
긴급복구,EMGRCV,EMERGENCY RECOVERY,
긴급소요부족목록,CRDL,CRITICAL REQUIREMENT DEFICIENCY LIST,CRDL
긴급수송,EMGTRS,EMERGENCY TRANSPORTATION,
긴급재보급,EMGRSPL,EMERGENCY RESUPPLY,
긴급조달,UGCPRC,URGENCY PROCUREMENT,
긴급추천재공격구분코드,UGRCMRDVCD,URGENCY RECOMMENDATION REATTACK DIVISION CODE,
긴급출동,SCRMBL,SCRAMBLE,
긴급출동서비스,UMS,URGENCY MOVE SERVICE,SOS
긴급표적,IMDTGT,IMMEDIATE TARGETS,
긴급표적번호,IMTGNO,IMMEDIATE TARGETS NUMBER,
긴급표적직무번호,ITDNO,IMMEDIATE TARGETS DUTY NUMBER,
긴급품목,CRTSPLMTR,CRITICAL SUPPLIES AND MATERIAL,
긴급항공지원,IAS,IMMEDIATE AIR SUPPORT,
긴급항공차단,XINT,EMERGENCY INTERDICTION,
긴요,CRTCL,CRITICAL,
긴요도,CRTC,CRITICALITY,
긴요도코드,CRTCCD,CRITICALITY CODE,
긴요품목,CSM,CRITICAL SUPPLIES AND MATERIAL,
길가,ROADSD,ROADSIDE,
길이,LEN,LENGTH,기장
김치,KIMCHI,KIMCHI,
깊이,DEPTH,DEPTH,
까지,UNTIL,UNTIL,
꼬리,TL,TAIL,
꼬리말,FTR,FOOTER,
꼬임,TWST,TWISTING,
꼬집기,PNCH,PINCH,
꼭짓점,VRTX,VERTEX,꼭지점
꽃게,BLCRB,BLUE CRAB,
꿀벌,HNYB,HONEYBEE,
끓는점,BOILPT,BOILING POINT,
끝,END,END,
나군,GRPNA,NA GROUP,
나급,CLSNA,NA CLASS,
나라장터,G2B,KOREA ON-LINE E-PROCUREMENT SYSTEM,G2B
나라장터등록번호,G2BNO,KOREA ON-LINE E-PROCUREMENT SYSTEM REGISTRATION NUMBER,
나라장터물품분류번호,G2BGCNO,G2B GOODS CLASSIFICATION NUMBER,
나라장터물품식별번호,G2BGINO,G2B GOODS IDENTIFICATION NUMBER,
나머지,RMDR,REMAINDER,
나선형개발,SPRDVL,SPIRAL DEVELOPMENT,
나이아신,NACN,NIACIN,
나이키,NIKE,NIKE,
나이키포대링크소프트웨어구성항목,MBDLCSC,MISSILE BATTERY DATA LINK COMPUTER SOFTWARE COMPONENT,
나이키포대자료연동링크,MBDL,MISSILE BATTERY DATA LINK,
나지,BRGRD,BARE GROUND,
나토,NATO,NORTH ATLANTIC TREATY ORGANIZATION,NATO
나토목록제도,NCS,NATO CODIFICATION SYSTEM,
나트륨,NA,NATRIUM,NA
나포,PRIZE,PRIZE,
낙상,FAL,FALL AND HURT ONESELF,
낙석,FLLNGRCK,FALLING ROCK,
낙오,STRGG,STRAGGLING,
낙오자,STRGL,STRAGGLER,
낙제,FAILEXM,FAILURE IN AN EXAMINATION,
낙조류,FOSET,FLOW OF SEA AT EBB TIDE,
낙진,FLOUT,FALLOUT,
낙차공,DRPSTRT,DROP STRUCTURE,
낙찰,SCSBID,SUCCESSFUL BID,
낙찰가격,SCBDPRC,SUCCESSFUL BID PRICE,"낙찰가,낙찰금액"
낙찰률,SCSBDRT,SUCCESSFUL BID RATE,낙찰율
낙찰방법코드,SBMCD,SUCCESSFUL BID METHOD CODE,
낙찰유찰구분,SNHBID,SUCCESSFUL AND HAVING NO BID,낙/유찰구분
낙찰일자,SCSBIDT,SUCCESSFUL BID DATE,낙찰일
낙찰자,SCSBDR,SUCCESSFUL BIDDER,
낙찰하한율,SBLLRT,SUCCESSFUL BID LOWEST LIMIT RATE,
낙천,FAILAPL,FAILURE IN AN APPLICATION,
낙탄,KH,KEYHOLING,
낙하,FALNG,FALLING,
낙하산,PRCHT,PARACHUTE,
낙하산번호,PRCHTNO,PARACHUTE NUMBER,
낙하산병,PRCHTST,PARACHUTIST,
낙하산유형코드,PRCHTTYCD,PARACHUTE TYPE CODE,
낙후,FLBHN,FALLING BEHIND,
낚시어선,FSHHP,FISHING SHIP,
낚시터,FSHLC,FISHING PLACE,
난간,RAILNG,RAILINGS,
난대,WTZONE,WARM TEMPERATE ZONE,
난로,FIREPLC,FIREPLACES,
난민,REFG,REFUGEE,
난방,HTNG,HEATING,
난방취사,HTNCK,HEATING AND COOKING,
난수,RN,RANDOM NUMBER,
난시,ASTG,ASTIGMATISM,
난이도,LVDFF,LEVEL OF DIFFICULTY,
난지,SBTRPCL,SUBTROPICAL,
난치성신체특성,ITRCBO,INTRACTABILITY BODY SPECIAL QUALITY,
날개,WING,WING,
날인,SNG,SEALING,
남,SUTH,SOUTH,
남극조약협의당사국,ATNCBCRN,ANTARCTIC TREATY NEGOTIATION COUNTRY CONCERNED,
남극조약협의당사국회의,ATNCTRN,ANTARCTIC TREATY NEGOTIATION COUNTRY CONCERNED MEE,
남극지역,SPRGN,THE SOUTH POLE REGION,
남극활동감시원,ATCACTSU,ANTARCTICA ACTIVITY SUPERINTENDENT,
남남갈등,STHNC,SOUTH - SOUTH IDEOLOGICAL CONFLICT,
남방,STHND,SOUTHERN DIRECTION,
남부,STHPT,SOUTHERN PART,
남북,NS,NORTH AND SOUTH,
남북송유관,SNP,SOUTH-NORTH OIL PIPELINE,
남북한,SNKOR,SOUTH AND NORTH KOREA,
남북한구분코드,SNKORDVSCD,SOUTH AND NORTH KOREA DIVISION CODE,
남북행사비교,SKEC,SOUTH NORTH EVENT COMPARE,
남북회담,SNVRS,SOUTH-NORTH CONVERSATION,
남산,NAMSAN,NAMSAN,
남서,SW,SOUTH WEST,
남성,MALE,MALE,
남성검사참고치,MREF,MALE REFERENCE VALUE,
남위,SLAT,SOUTH LATITUDE,
남자,MAN,MAN,
남측인물,SKRP,SOUTH KOREA PERSON,
남측인물경력,SKPCR,SOUTH KOREA PERSON CAREER,
남침,IVSKR,INVASION OF THE SOUTH KOREA,
남편,HUSB,HUSBAND,
남한,SK,SOUTH KOREA,
남해,STHSEA,SOUTHERN SEA,
납,PB,LEAD,PB
납기,TMLMPMT,TIME LIMIT FOR PAYMENT,
납기일자,TMLMTDT,TIME LIMIT FOR PAYMENT DATE,납기일
납기전,BRDDT,BEFORE DUE DATE,
납기지연,DTMLFP,DELAYED TIME LIMIT FOR PAYMENT,납기OVER
납기후,AFTDTE,AFTER DUE DATE,
납부,PAYMT,PAYMENT,"납입,불입"
납부고지서,WTNTPAY,WRITTEN NOTICE FOR PAYMENT,납부서
납부구분코드,PAYDVCD,PAYMENT DIVISION CODE,
납부금,PAYAMNT,PAYMENT AMOUNT,"납입금,불입금,불입금액,불입액,납부금액,납입금액"
납부기한,TRMPAY,TERM FOR PAYMENT,납입기한
납부방법,PAYMTHD,PAYMENT METHOD,
납부일자,PAYDT,PAYMENT DATE,"납부일,납입일,납입일자,불입일자,불입일"
납부자,PAYER,PAYER,
납북자,KPPT,KIDNAPPED PERSON TO NORTH KOREA,
납세,PAYTX,PAYMENT OF TAXES,
납세의무,TXLABLT,TAX LIABILITY,
납세자,TXPYR,TAXPAYER,납세의무자
납입가장,PDSGUS,PAYMENT DISGUISE,
납지,PLCDLV,PLACE OF DELIVERY,
납품,DLVGDS,DELIVERY OF GOODS,
납품검사,ACPTINSP,ACCEPTANCE INSPECTION,
납품기한,DLVTRM,DELIVERY TERM,
납품소요시간,DLT,DELIVERY LEAD TIME,
납품업체,DLVGBIZ,DELIVERY OF GOODS BUSINESS,
납품일자,DLVGDT,DELIVERY OF GOODS DATE,납품일
납품장소,DLVPLC,DELIVERY OF GOODS PLACE,
납품조서,DLVDOC,DELIVERY OF GOODS DOCUMENT,
납품통지,DLVNTC,DELIVERY NOTICE,
낮번,DAYDUTY,DAY DUTY,
낱,PIECE,A PIECE,
낱개,EA,EACH,
낱발,RMAMN,REMAINED AMMUNITION,
내,WTHN,WITHIN,
내경,INSDMT,INSIDE DIAMETER,
내과,INTMDC,INTERNAL MEDICINE,
내구,DURA,DURABLE,
내구성,ENDR,ENDURANCE,
내구소비재,DCG,DURABLE CONSUMERS GOODS,
내구수명,SVCLF,SERVICE LIFE,
내구시간,EDRTM,ENDURANCE TIME,
내국,DMSTC,DOMESTIC,
내국선하증권,LCLBL,LOCAL BILL OF LADING,
내국인,NTV,NATIVE,
내국환,DMSXCG,DOMESTIC EXCHANGE,
내금,ONCN,ON ACCOUNT,
내란,INTDST,INTERNAL DISTURBANCES,
내륙,INLND,INLAND,
내면,INSD,INSIDE,
내복,UNDE,UNDERWEAR,
내부,INTNL,INTERNAL,
내부거래,INSTRS,INSIDE TRANSACTION,
내부거래제거,ITE,INSIDE TRANSACTION ELIMINATION,
내부고,INHGT,INTERNAL HEIGHT,
내부보급,INTSPL,INTERNAL SUPPLY,
내부연동,INITCNTN,INTERNAL INTERCONNECTION,
내부코드,INTNLCD,INTERNAL CODE,
내선,INLN,INNER LINE,
내성,RSTNT,RESISTANT,
내수,WTPRF,WATERPROOF,
내수,DMSDMD,DOMESTIC DEMAND,
내시경,EDSCP,ENDOSCOPE,
내신,INID,INSIDE INFORMATION DATA,
내역,PTCLS,PARTICULARS,
내역서,DTLSTMT,DETAILED STATEMENT,
내열재료,HRMTR,HEATING RESISTING MATERIALS,
내외,INTEXT,INTERIOR AND EXTERIOR,
내외과,IMNS,INTERNAL MEDICINE AND SURGERY,내/외과
내외자,DNFCPT,DOMESTIC AND FOREIGN CAPITAL,
내외장부호,WTHNEXTRSIGN,WITHIN EXTERIOR SIGN,
내용,CTNT,CONTENT,
내용년수,DRYR,DURABLE YEARS,"내용연수,내구년수,유효수명,내용연한"
내용유형,CNTYP,CONTENTS TYPE,
내원,VSTHSP,VISIT HOSPITAL,
내원구분,VHDV,VISIT HOSPITAL DIVISION,
내원수단,VHMENS,VISIT HOSPITAL MEANS,
내원일자,VSTHSPDT,VISIT HOSPITAL DATE,내원일
내원코드번호,VSTHSPCODENO,VISIT HOSPITALSERIAL NUMBER,
내일,TOMO,TOMORROW,
내자,DMSCPT,DOMESTIC CAPITAL,
내자구매품,DCCPIT,DOMESTIC CAPITAL PURCHAGE ITEM,
내자저장품,DCCSIT,DOMESTIC CAPITAL STORAGE ITEM,
내장,ITRDECO,INTERIOR DECORATION,
내장용기,ITRDCCNTR,INTERIOR DECORATION CONTAINER,
내장형소프트웨어,BLTINSW,BUILT-IN SOFTWARE,
내진,RSERTHQK,AN EARTHQUAKE RESISTANT,
내진설계,ERDSGN,EARTHQUAKE-RESISTANT DESIGN,
내피,INSKN,INSIDE SKIN,
내화구조,FPC,FIRE PROOF CONSTRUCTION,
내화재료,FRMTR,FIRE RESISTING MATERIALS,
냄새,SMELL,SMELL,
냉각,COOL,COOLING,
냉각수,COOLWT,COOLING WATER,
냉각탑,COOLTW,COOLING TOWER,냉수탑
냉난방,CDYSM,COLD AND HEATING SYSTEM,
냉동,FRZ,FREEZING,
냉동기,RFGTR,REFRIGERATOR,
냉매,RFGRNT,REFRIGERANT,
냉방,ARCND,AIR CONDITIONING,
냉방기,AIRCON,AIR CONDITIONER,
냉온요법,INHTHRP,ICE AND HOT THERAPY,
냉요법,ICETHRP,ICE THERAPY,
냉장,REFRG,REFRIGERATION,
냉조풍지대,CLTDR,COLD SALTY WIND AREA,
냉탕,CBATH,COLD BATH,
널,NULL,NULL,NULL
넓이,WDTH,WIDTH,
네트워크중심전,NCW,NETWORK CENTRIC WARFARE,NCW
네트워크카드,NETCRD,NETWORK CARD,랜카드
년,YY,YEAR,연
년간,YRLY,YEARLY,연간
년대,ERA,ERA,
년도,YEAR,YEAR,연도
년분기월구분코드,YQMDCD,"YEAR, QUARTER, MONTH DIVISION CODE",
년수,NUMYR,NUMBER OF YEARS,연수
년월,YRMON,YEAR AND MONTH,
년제,ANVSR,ANNIVERSARY,
년중,WLR,WHOLE YEAR,
년차,ORDYR,ORDER BY YEAR,연차
년차계획,ANLPLN,ANNUAL PLAN,연차계획
년한,ANLPRD,ANNUAL PERIOD,
노거수,OBT,OLD BIG TREE,
노동,LABOR,LABOR,
노동자,LBRR,LABORER,
노드,NODE,NODE,
노랑,YELLOW,YELLOW,
노력,EFRT,EFFORT,
노면,RDSF,ROAD SURFACE,
노면상태코드,RDSFSTCD,ROAD SURFACE STATE CODE,
노무,LABR,LABOR,
노무비,LBCST,LABOR COST,
노변분배소,RDSTPNT,ROAD DISTRIBUTION POINT,
노사,LBMGT,LABOR AND MANAGEMENT,
노상,ONROAD,ON ROAD,
노상간격,RDITVL,ROAD INTERVAL,시간간격
노상거리,RDDST,ROAD DISTANCE,
노상검사제도,LIS,LOAD INSPECTION SYSTEM,
노상시설,FCRD,FACILITY ON ROAD,
노상장경,RS,ROAD SPACE,행군장경
노선,RUTE,ROUTE,
노선번호,RNO,ROUTE NUMBER,
노인,ODSN,OLD PERSON,
노인장기요양보험,LNTRCR,LONGTERMCARE,
노임,WG,WAGE,
노점,DWPNT,DEW POINT,
노점온도,DWPNTTPRT,DEW POINT TEMPERATURE,
노정,ITNRY,ITINERARY,
노즐,NZL,NOZZLE,
노출,EXPSR,EXPOSURE,
노트,KNT,KNOT,
노트북,NTBK,NOTEBOOK,
노폭,WDTOST,WIDTH OF A STREET,
노획,BTY,BOOTY,
노획물,BTOBJ,BOOTY OBJECT,
노후,OBSLT,OBSOLETE,
노후장비,OBSEQ,OBSOLETE EQUIPMENT,
녹,RUST,RUST,
녹는점,MELTPT,MELTING POINT,
녹음,SNDREC,SOUND RECORDING,
녹지,GRZN,GREEN ZONE,
녹화,REC,RECORDING,
논,RICFLD,RICE FIELD,
논리,LOGIC,LOGIC,로직
논리파일,LGCLFL,LOGICAL FILE,
논문,THSIS,THESIS,
논조,TNAGMNT,TONE OF ARGUMENT,
놀이,PLY,PLAY,
농경,AGRI,AGRICULTURAL,
농구,BSKT,BASKETBALL,
농구장,BSKTCRT,BASKETBALL COURT,
농도,DNST,DENSITY,
농무,AGAFR,AGRICULTURAL AFFAIRS,
농민,FRMR,FARMER,
농어촌,FMFSHVLG,FARMING AND FISHING VILLAGE,
농어촌특별세,STRD,SPECIAL TAX FOR RURAL DEVELOPMENT,농특세
농업,AGRCT,AGRICULTURE,
농업협동조합,NH,NATIONAL AGRICULTURAL COOPERATIVES FEDERATION,
농지,FLND,FARMLAND,
농지보전,PRSVFLND,PRESERVATION OF FARMLAND,
농창,AGCWHS,AGRICULTURAL COOPERATIVES WAREHOUSE,
농창번호,ACWNO,AGRICULTURAL COOPERATIVES WAREHOUSE NUMBER,
농촌,FMLG,FARM VILLAGE,
높이,HGHT,HEIGHT,
뇌관,DTNR,DETONATOR,
뇌관장치구분코드,DTNRTPCD,DETONATOR EQUIPMENT DIVISION CODE,
뇌물,BRIBE,BRIBE,
뇌성마비,CRBRPLS,CEREBRAL PALSY,
뇌신경,CLNRV,CRANIAL NERVE,
뇌염,ENCPHLT,ENCEPHALITIS,
뇌우,THUSTORM,THUNDER STORM,
뇌졸중,CBVCACD,CEREBROVASCULAR ACCIDENT,
뇌파,BRNWV,BRAINWAVE,
누가,WHO,WHO,
누계,CMLTOT,CUMULATIVE TOTAL,
누계번호,CTNO,CUMULATIVE TOTAL NUMBER,
누년,MNYY,MANY YEARS,
누락,OVSITE,OVERSIGHT,
누범,RPOFNS,REPEATED OFFENSE,
누설,LKGE,LEAKAGE,
누수,WTLKG,WATER LEAKAGE,
누에,SILKWRM,SILKWORM,
누에고치,COCOON,COCOON,
누워일어나기,SUTSI,SUPINE TO SIT,
누적,ACML,ACCUMULATE,
누적액,ACMAT,ACCUMULATION AMOUNT,
누전,ELCLKG,ELECTRIC LEAKAGE,
누진,GRDADV,GRADUAL ADVANCE,
누진세,PRGRTX,PROGRESSIVE TAX,
누출,LEAK,LEAK,
누출사고형태코드,LASCD,LEAK ACDT SHAPE CODE,
누출상태코드,LEAKSTATECD,LEAK STATE CODE,
누출유형코드,LEAKTYPECD,LEAK TYPE CODE,
누출핵작용제종류코드,LNAKCD,LEAK NUCLEAR AGONIST KIND CODE,
눈,EYE,EYE,
눈,SNOW,SNOW,
눈감음,EYECL,EYE CLOSED,
눈뜸,EYEOP,EYE OPEN,
느릅나무,JPNELM,JAPANESE ELM,
느티나무,ZKYTR,ZELKOVA TREE,
늑골,RIB,RIB,
능동,ACTIV,ACTIVELY,
능력,ABLT,ABILITY,역량
능력개발,MPDVLP,MAN-POWER DEVELOPMENT,능력계발
능력개발번호,MPDNO,MAN-POWER DEVELOPMENT NUMBER,
능형,LZNG,LOZENGE,
늦은,LT,LATE,
니어라인저장장치,NEARLNSTRG,NEARLINE STORAGE,
니켈,NI,NICKEL,NI
니코틴의존,NDPN,NICOTINE DEPENDENCY,
니코틴패치,NPCH,NICOTINE PATCH,
니트,KNIT,KNIT,
니트로글리세린,NTRGCR,NITROGLYCERIN,
니트로글리콜,NTRGCL,NITROGLYCOL,
다가구주택,MLTDWL,MULTIPLE DWELLINGS,
다각,MNSDN,MANY SIDENESS,
다각형,POLGN,POLYGON,
다군,GRPDA,DA GROUP,
다급,CLSDA,DA CLASS,
다기능통합정비,IMFM,INTEGRATED MULTI FUNCTION MAINTENANCE,
다단,MLTSTG,MULTI STAGE,
다련장,MTPLC,MULTIPLE LAUNCH,
다련장로켓탄,MLRS,MULTIPLE LAUNCH ROCKET SHELL,"MLRS, 방사포"
다면,MNSD,MANY SIDES,
다면진단,MSDIAG,MANY SIDES DIAGNOSIS,
다면평가제,MSES,MANY SIDES EVALUATION SYSTEM,"다면평가제도,다면평가"
다목적,MLTIPRPS,MULTIPURPOSE,
다목적상륙주정,LCU,LANDING CRAFT UTILITY,LCU
다세대주택,MLPXHOU,MULTIPLEX HOUSE,
다수,MLTTD,MULTITUDE,
다수공급자계약,MPDD,MULTIPLE AWARD SCHEDULE,
다수확,HGYL,HIGH YIELD,
다습,MHMR,MUCH MOISTURE,
다실,TEAHOU,TEAHOUSE,
다운,DOWN,DOWN,
다운로드,DOWNLD,DOWNLOAD,
다운스트림,DWSTM,DOWNSTREAM,
다원적,PLRLISM,PLURALISM,
다음,NEXT,NEXT,
다이아몬드,DIA,DIAMOND,
다이어그램,DGRM,DIAGRAM,
다인승,MLTBRDG,MULTI BOARDING,
다자녀,MNYCH,MANY-CHILD,
다중,MULTI,MULTIPLE,
다중처리,MLTPRC,MULTIPROCESSING,
다중통신,MLTCMN,MULTIPLEX COMMUNICATION,
다출처영상융합체계,MIFS,MULTI SOURCE IMAGERY FUSION SYSTEM,
다층,MLTFLR,MULTI FLOOR,
다항식,POLYNM,POLYNOMIAL,
단,STR,STAIR,
단,SHORT,SHORT,
단,ASSCAT,ASSOCIATION,
단,DEGR,DEGREE,
단,MERE,MERE,
단가,UNTPRC,UNIT PRICE,
단가계약,UCCTR,UNIT COST CONTRACT,
단가구분코드,UPDCD,UNIT PRICE DIVISION CODE,
단가제,ITBITBS,ITEM BY ITEM BASIS,
단거리,SHDTN,SHORT DISTANCE,
단계,STEP,STEP,스텝
단계번호,STEPNO,STEP NUMBER,
단기,SHRTRM,SHORT TERM,
단기국채,SHTRMBND,SHORT TERM BOND,단국
단기급여,SRRMS,SHORT-TERM SALARY,
단기복무,STSRV,SHORT TERM SERVICE,
단기시효,SHRSP,SHORT-TERM PREION,
단기임대차,SRRM,SHORT TERM LEASE,
단내,INSABS,INSIDE AIR BASE,
단년도,YR1,ONE YEAR,
단답형,SAQUS,SHORT-ANSWER QUESTIONS,
단대호,UID,UNIT IDENTIFICATION,
단독,SINGL,SINGLE,
단독주주권,ULTSTHRT,UNILATERNAL STOCKHOLDERS RIGHT,
단량,UIQ,UNIT ISSUE QUANTITY,
단련,TRNG,TRAINING,
단말,TMED,TERMINAL END,
단말기,TMNL,TERMINAL,"단말,터미널"
단말부대,TMUNT,TERMINAL UNIT,
단말부대인계,TMUNTHO,TERMINAL UNIT HANDOVER,
단말부대인수,TMUNTUN,TERMINAL UNIT UNDERTAKING,
단면,CRSSCT,CROSS SECTION,
단면도,DRWG,DRAWING,
단문,SMPSNT,SIMPLE SENTENCE,
단방향,SIMPLX,SIMPLEX,
단백질,PROTN,PROTEIN,
단복,SNGNPLUR,SINGULAR AND THE PLURAL,
단서,PROVIS,PROVISO,
단선궤도,SGLTRK,SINGLE TRACK,단선
단속,CRCKDN,CRACKDOWN,
단속자,CRMINVG,CRIMINAL INVESTIGATOR,
단수,NUMSTR,NUMBER OF STAIR,
단수,CTOFWTSPL,CUT OFF WATER SUPPLY,
단수,LEVEL,LEVEL,
단수금액,FRTAMT,FRACTIONAL AMOUNT,단수금
단순,SIMPL,SIMPLE,
단순객체접근프로토콜,SOAP,SIMPLE OBJECT ACCESS PROTOCOL,SOAP
단순승인,ABACPT,ABSOLUTE ACCEPTANCE,
단순회전,SRTT,SIMPLE ROTATION,
단식,SMPSYS,SIMPLE SYSTEM,
단애,CLF,CLIFF,
단어,WORD,WORD,워드
단외,OUTABS,OUTSIDE AIR BASE,
단위,UI,UNIT,
단위공정,UNTPRCS,UNIT PROCESS,
단위구분코드,UIDVCD,UNIT DIVISION CODE,
단위레이더반사면적최대탐지거리,URMDD,UNIT RCS MAXIMUM DETECTION DISTANCE,
단위레이더반사면적탐지거리,URDD,UNIT RCS DETECTION DISTANCE,
단위부대,UNTELM,UNIT ELEMENT,
단위사업,ACTV,ACTIVITY,
단위사업코드,ACTVCD,ACTIVITY CODE,
단위요금,PFE,PER FEE,
단위코드,UICD,UNIT OF ISSUE CODE,
단음,SRTSND,SHORT SOUND,
단일,SNGL,SINGLE,
단일레이더지정모드,PRDTM,PREFERRED RADAR TRACKING MODE,
단일용기,SCTNR,SINGLENESS CONTAINER,
단일유기화학물질,SCMST,SINGLE ORGANIC CHEMICAL SUBSTANCE,
단일화,SIMPLFY,SIMPLIFICATION,
단자,TMNLS,TERMINALS,
단자판,TMNPLT,TERMINAL PLATE,
단자함,TMNBOX,TERMINAL BOX,
단장,DOYEN,DOYEN,
단절,BREAK,BREAK,
단절,DISCNCT,DISCONNECTION,
단점,DSADVNTG,DISADVANTAGE,
단정,BOAT,BOAT,
단정반,BTTM,BOAT TEAM,
단종,DISCNT,DISCONTINUATION,
단주,OTTKS,ODD-LOT STOCKS,
단증,DGRCERT,DEGREE CERTIFICATE,
단차,STEPLY,STEPPED PULLEY,
단차,SNGLCAR,SINGLE CAR,
단차로,SFLRT,SINGLE FLOW ROUTE,
단체,ASSCATN,ASSOCIATION,
단축,SHRT,SHORT,
단축,MNAXIS,MINOR AXIS,
단파,SHRTWV,SHORTWAVE,
단파적외채널,SHWIFRCH,SHORTWAVE INFRARED CHANNEL,
단편명령,FRAGO,FRAGMENTARY ORDER,
단풍나무,JPNMPL,JAPANESE MAPLE,
단합대회,RTSTU,RALLY TO STRENGTHEN THE UNITY,
달,MNTH,MONTH,
달러,DLR,DOLLAR,"달라,불화,미화,미달러,미달라"
달력,CLD,CALENDAR,월력
달리기,RUNNG,RUNNING,
달성,ACHMT,ACHIEVEMENT,
달성가용도,AVLACH,AVAILABILITY ACHIEVED,성취가용도
달성도,ACMDGR,ACHIEVEMENT DEGREE,
달성률,ACMTRT,ACHIEVEMENT RATE,달성율
담당,RSPSBLT,RESPONSIBILITY,
담당관,OIC,OFFICER IN CHARGE,
담당부서,RSDPT,RESPONSIBILITY DEPARTMENT,
담당자,PSNCHRG,PERSON IN CHARGE,
담배,TBCO,TABACCO,
담보,CLTRL,COLLATERAL,
담보가격,MRTGGPC,MORTGAGE PRICE,
담보가등기,PRS,PROVISIONAL REGISTRATION FOR SECURITY,
담보계약,MRTGGCNTRCT,MORTGAGE CONTRACT,
담보금액,MRTGGAMOUNT,MORTGAGE AMOUNT,
담보물권,RRGWS,REAL RIGHTS GRANTED BY WAY OF SECURITY,
담보설정,PUTCLT,PUT ON COLLATERAL,
담보책임,RBTSY,RESPONSIBILITY FOR SECURITY,
담임,CSTCR,CLASS TEACHER,
담합행위,PRARACT,PREARRANGEMENT ACT,
담화,CLQY,COLLOQUY,
답글,RPL,REPLY,
답변,ANSWR,ANSWER,
답변자,RPLR,REPLIER,
답변코드번호,ANSCDNO,ANSWER CODE NUMBER,
답사,EXPLR,EXPLORATION,
답신,REPLY,REPLY,
답안,ANSW,ANSWER,답
답안번호,ANSWNO,ANSWER NUMBER,
당,PER,PER,
당겨배정,ADVAPT,ADVANCED APPORTIONMENT,
당겨배정액,ADAPTAMT,ADVANCED APPORTIONMENT AMOUNT,"당겨액,당겨금액,당겨배정금액"
당구장,BLRDRM,BILLIARD ROOM,
당기,CTRM,CURRENT TERM,
당기감소량,CTDQTY,CURRENT TERM DECREASE QUANTITY,당기감소수량
당기감소액,CTDAMT,CURRENT TERM DECREASE AMOUNT,당기감소금액
당기순이익,NPCP,NET PROFIT OF CURRENT PERIOD,
당기증가량,CTIQTY,CURRENT TERM INCREASE QUANTITY,당기증가수량
당기증가액,CTIAMT,CURRENT TERM INCREASE AMOUNT,당기증가금액
당김,PULL,PULL,
당년,THSYY,THIS YEAR,
당년도,THTYR,THAT YEAR,"당해,당년,당해년도"
당뇨병,DIM,DIABETES MELLITUS,
당뇨식,DIAD,DIABETIC DIET,
당비,PRTDUE,PARTY DUE,
당사국,CNCNRY,CONCERNED COUNTRY,
당사자적격,STNDSU,STANDING TO SUE,
당시,ATT,AT THAT TIME,
당연상인,MHGCWM,MERCHANT WHO ENGAGED IN COMMERCIAL TRANSACTIONS IN,
당연직,EFC,EX OFFICIO,
당원,PARTM,PARTY MEMBER,
당월,THTMON,THAT MONTH,
당일,THTDY,THAT DAY,
당좌예금,CURACC,CURRENT ACCOUNT,당좌
당좌자산,QCKAST,QUICK ASSETS,당좌
당직근무,CQ,CHARGE OF QUARTERS,당직
당질,CRBHD,CARBOHYDRATE,
당첨,PRZWIN,PRIZE WINNING,
당첨자,PRZWNER,PRIZE WINNER,
당초,BGNG,BEGINNING,
당해,PRTINT,PERTINENT,
